negara,provinsi,tanggal,terkonfirmasi,meninggal,sembuh,aktif
Russia,Volgograd Oblast,2021-01-03,36229,474,34390,1365
Russia,Vologda Oblast,2021-01-03,24398,443,19726,4229
Russia,Voronezh Oblast,2021-01-03,47369,1190,44141,2038
Russia,Yamalo-Nenets Autonomous Okrug,2021-01-03,32603,338,25472,6793
Russia,Yaroslavl Oblast,2021-01-03,22863,205,21432,1226
Russia,Zabaykalsky Krai,2021-01-03,27961,386,25794,1781
Russia,Adygea Republic,2021-01-04,11341,95,9312,1934
Russia,Altai Krai,2021-01-04,33748,917,31164,1667
Russia,Altai Republic,2021-01-04,13990,108,13182,700
Russia,Amur Oblast,2021-01-04,16401,105,14679,1617
Russia,Arkhangelsk Oblast,2021-01-04,44504,447,35572,8485
Russia,Astrakhan Oblast,2021-01-04,19708,401,12973,6334
Russia,Bashkortostan Republic,2021-01-04,19742,147,15238,4357
Russia,Belgorod Oblast,2021-01-04,22574,270,20324,1980
Russia,Bryansk Oblast,2021-01-04,23945,216,21710,2019
Russia,Buryatia Republic,2021-01-04,26403,602,23748,2053
Russia,Chechen Republic,2021-01-04,9106,94,5064,3948
Russia,Chelyabinsk Oblast,2021-01-04,35906,556,23337,12013
Russia,Chukotka Autonomous Okrug,2021-01-04,539,4,482,53
Russia,Chuvashia Republic,2021-01-04,16805,570,15145,1090
Russia,Dagestan Republic,2021-01-04,24098,1135,20761,2202
Russia,Ingushetia Republic,2021-01-04,12418,142,10413,1863
Russia,Irkutsk Oblast,2021-01-04,41590,1269,36600,3721
Russia,Ivanovo Oblast,2021-01-04,22007,535,16689,4783
Russia,Jewish Autonomous Okrug,2021-01-04,3810,72,3036,702
Russia,Kabardino-Balkarian Republic,2021-01-04,16226,269,14380,1577
Russia,Kaliningrad Oblast,2021-01-04,18651,183,16809,1659
Russia,Kalmykia Republic,2021-01-04,15163,200,12636,2327
Russia,Kaluga Oblast,2021-01-04,21722,181,20158,1383
Russia,Kamchatka Krai,2021-01-04,10401,82,9135,1184
Russia,Karachay-Cherkess Republic,2021-01-04,15476,41,13912,1523
Russia,Karelia Republic,2021-01-04,28936,168,22852,5916
Russia,Kemerovo Oblast,2021-01-04,26296,476,23420,2400
Russia,Khabarovsk Krai,2021-01-04,36424,204,32167,4053
Russia,Khakassia Republic,2021-01-04,17988,279,15045,2664
Russia,Khanty-Mansi Autonomous Okrug,2021-01-04,42197,557,38513,3127
Russia,Kirov Oblast,2021-01-04,26576,234,20168,6174
Russia,Komi Republic,2021-01-04,31357,586,29360,1411
Russia,Kostroma Oblast,2021-01-04,15291,240,11487,3564
Russia,Krasnodar Krai,2021-01-04,28479,992,19103,8384
Russia,Krasnoyarsk Krai,2021-01-04,47795,1775,42700,3320
Russia,Kurgan Oblast,2021-01-04,12421,183,10906,1332
Russia,Kursk Oblast,2021-01-04,21494,312,19304,1878
Russia,Leningrad Oblast,2021-01-04,24717,271,22126,2320
Russia,Lipetsk Oblast,2021-01-04,16685,268,12464,3953
Russia,Magadan Oblast,2021-01-04,7159,65,6608,486
Russia,Mari El Republic,2021-01-04,9384,123,8316,945
Russia,Mordovia Republic,2021-01-04,13840,95,11442,2303
Russia,Moscow,2021-01-04,828570,11507,652324,164739
Russia,Moscow Oblast,2021-01-04,161251,2963,117750,40538
Russia,Murmansk Oblast,2021-01-04,37114,666,33629,2819
Russia,Nenets Autonomous Okrug,2021-01-04,807,0,704,103
Russia,Nizhny Novgorod Oblast,2021-01-04,71785,1710,64003,6072
Russia,North Ossetia - Alania Republic,2021-01-04,12354,101,10946,1307
Russia,Novgorod Oblast,2021-01-04,19145,99,14035,5011
Russia,Novosibirsk Oblast,2021-01-04,28487,1000,24711,2776
Russia,Omsk Oblast,2021-01-04,31137,901,28253,1983
Russia,Orel Oblast,2021-01-04,22061,277,19800,1984
Russia,Orenburg Oblast,2021-01-04,29464,357,25878,3229
Russia,Penza Oblast,2021-01-04,26849,328,21592,4929
Russia,Perm Krai,2021-01-04,31907,1173,25449,5285
Russia,Primorsky Krai,2021-01-04,30220,391,21641,8188
Russia,Pskov Oblast,2021-01-04,24318,101,12502,11715
Russia,Rostov Oblast,2021-01-04,53216,2126,43641,7449
Russia,Ryazan Oblast,2021-01-04,18698,171,17045,1482
Russia,Saint Petersburg,2021-01-04,257007,8004,154982,94021
Russia,Sakha (Yakutiya) Republic,2021-01-04,26972,400,24477,2095
Russia,Sakhalin Oblast,2021-01-04,16314,17,13677,2620
Russia,Samara Oblast,2021-01-04,32603,646,30047,1910
Russia,Saratov Oblast,2021-01-04,36399,428,31076,4895
Russia,Smolensk Oblast,2021-01-04,17693,344,13922,3427
Russia,Stavropol Krai,2021-01-04,36059,761,32263,3035
Russia,Sverdlovsk Oblast,2021-01-04,60192,1578,52549,6065
Russia,Tambov Oblast,2021-01-04,18293,195,16147,1951
Russia,Tatarstan Republic,2021-01-04,13633,197,10798,2638
Russia,Tomsk Oblast,2021-01-04,25071,218,20873,3980
Russia,Tula Oblast,2021-01-04,23662,785,20799,2078
Russia,Tver Oblast,2021-01-04,23190,459,18279,4452
Russia,Tyumen Oblast,2021-01-04,23987,204,22563,1220
Russia,Tyva Republic,2021-01-04,14846,157,13682,1007
Russia,Udmurt Republic,2021-01-04,20511,400,16835,3276
Russia,Ulyanovsk Oblast,2021-01-04,37403,474,34178,2751
Russia,Vladimir Oblast,2021-01-04,19261,528,17174,1559
Russia,Volgograd Oblast,2021-01-04,36487,478,34601,1408
Russia,Vologda Oblast,2021-01-04,24711,449,20036,4226
Russia,Voronezh Oblast,2021-01-04,47757,1205,44243,2309
Russia,Yamalo-Nenets Autonomous Okrug,2021-01-04,32764,341,25699,6724
Russia,Yaroslavl Oblast,2021-01-04,23048,209,21611,1228
Russia,Zabaykalsky Krai,2021-01-04,28199,386,26080,1733
Russia,Adygea Republic,2021-01-05,11420,95,9380,1945
Russia,Altai Krai,2021-01-05,33957,926,31332,1699
Russia,Altai Republic,2021-01-05,14019,108,13202,709
